,title,date_published,duration,avg_vote,votes,reviews_from_users,metascore,year,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sport,Thriller,War,Western
222,Skylines ,18 December 2020 ,113,4.7,2197.0,89,46.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,SkymanÂ ,26 June 2020 ,92,5.7,66.0,0,57.0,2020.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Songbird ,11 December 2020 ,84,4.4,2297.0,96,27.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
225,Sonic the Hedgehog ,14 February 2020 ,99,6.5,86287.0,1079,47.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Soul ,25 December 2020 ,100,8.2,108524.0,1084,83.0,2020.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Spell ,30 October 2020 ,91,5.4,2389.0,87,38.0,2020.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
228,Spenser Confidential ,6 March 2020 ,111,6.2,67666.0,566,49.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Spontaneous ,2 October 2020 ,101,6.5,3011.0,64,78.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Spree ,14 August 2020 ,93,5.9,3687.0,95,41.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Sputnik ,24 July 2020 ,113,6.4,12241.0,182,61.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
232,Stage Mother ,21 August 2020 ,93,6.4,1023.0,31,41.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Stardust ,15 January 2021 ,109,3.7,620.0,24,36.0,2020.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
234,Stargirl ,13 March 2020 ,107,6.2,3687.0,93,61.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Summer of 85 ,14 July 2020 ,90,6.8,2994.0,26,69.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
236,Summerland ,31 July 2020 ,99,6.9,2319.0,47,56.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
237,SummertimeÂ ,23 January 2020 ,95,6.8,82.0,0,69.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Sun ChildrenÂ ,1 February 2020 ,99,6.6,271.0,0,71.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
239,Superintelligence ,26 November 2020 ,106,5.3,4259.0,111,41.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Survive the Night ,22 May 2020 ,90,4.7,7078.0,267,26.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Sylvie's Love ,23 December 2020 ,114,6.6,2500.0,106,74.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
242,TapeÂ ,26 March 2020 ,98,3.9,139.0,0,47.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
243,Tenet ,3 September 2020 ,150,7.5,253306.0,3920,69.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Tesla ,21 August 2020 ,102,5.0,5339.0,153,67.0,2020.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,The 11th GreenÂ ,8 January 2020 ,108,5.7,36.0,0,68.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
246,The 24th ,21 August 2020 ,113,5.4,327.0,13,56.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
247,The Argument ,4 September 2020 ,81,4.4,330.0,14,48.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,The Babysitter: Killer Queen ,10 September 2020 ,101,5.8,25572.0,358,22.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,The Banker ,20 March 2020 ,120,7.3,18016.0,169,59.0,2020.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,The Bay of Silence ,14 August 2020 ,93,4.2,1364.0,33,44.0,2020.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
251,The Best Is Yet to ComeÂ ,9 September 2020 ,114,6.5,59.0,0,82.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
252,The Big Ugly ,24 July 2020 ,106,6.0,2959.0,70,52.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
253,The Binge ,28 August 2020 ,98,5.1,2524.0,76,35.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,The Boys in the Band ,30 September 2020 ,121,6.8,10589.0,120,70.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
255,The Broken Hearts Gallery ,11 September 2020 ,109,6.2,3266.0,66,57.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,The Call of the Wild ,21 February 2020 ,100,6.8,36710.0,480,47.0,2020.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,The Christmas Chronicles: Part Two ,25 November 2020 ,112,6.0,21554.0,389,51.0,2020.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,The Courier ,19 February 2021 ,111,6.6,178.0,2,62.0,2020.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
259,The Craft: Legacy ,28 October 2020 ,97,4.3,5929.0,275,54.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
260,The Croods: A New Age ,25 November 2020 ,95,7.0,10971.0,145,56.0,2020.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
